Name	Group	Group2	HMDB
Lysine	Amino acids	Amino acids	HMDB0000182
Histidine	Amino acids	Amino acids	HMDB0000177
Arginine	Amino acids	Amino acids	HMDB0000517
Ornithine	Amino acids	Amino acids	HMDB0000214
Glutamine	Amino acids	Amino acids	HMDB0000641
Glutamic acid	Amino acids	Amino acids	HMDB0000148
Anserine	Peptidomimetics	Peptidomimetics	HMDB0000194
Carnosine	Peptidomimetics	Peptidomimetics	HMDB0000033
Sarcosine	Amino acids	Amino acids	HMDB0000271
Alanine	Amino acids	Amino acids	HMDB0000161
Dimethylglycine	Amino acids	Amino acids	HMDB0000092
GABA	Amino acids	Amino acids	HMDB0000112
Serine	Amino acids	Amino acids	HMDB0000187
Threonine	Amino acids	Amino acids	HMDB0000167
Creatine	Amino acids	Amino acids	HMDB0000064
Threonic acid	Organic acids	Organic acids	HMDB0000943
Hydroxypropionic acid	Organic acids	Organic acids	HMDB0000700
Glycylproline	Amino acids	Amino acids	HMDB0000721
Homocitrulline	Amino acids	Amino acids	HMDB0000679
AMP	Nucleosides	Nucleosides	HMDB0000045
Lactic acid	Organic acids	Organic acids	HMDB0000190
Nicotinic acid	Pyridines	Pyridines	HMDB0001488
Methylcysteine	Amino acids	Amino acids	HMDB0002108
Tyrosine	Amino acids	Amino acids	HMDB0000158
"3,4-Dihydroxyhydrocinnamic acid"	Phenylpropanoic acids	Phenylpropanoic acids	HMDB0000423
Asparagine	Amino acids	Amino acids	HMDB0000168
Protocatechuic acid	Benzenoids	Benzenoids	HMDB0001856
Phenylalanine	Amino acids	Amino acids	HMDB0000159
Hydroxyphenyllactic acid	Phenylpropanoic acids	Phenylpropanoic acids	HMDB0000755
Glycyleucine	Amino acids	Amino acids	HMDB0028929
Aspartic acid	Amino acids	Amino acids	HMDB0000191
Glucaric acid	Carbohydrates	Carbohydrates	HMDB0000663
2-Hydroxy-3-methylbutyric acid	Fatty acids	Fatty acids	HMDB0000407
Picolinic acid	Pyridines	Pyridines	HMDB0002243
4-Hydroxybenzoic acid	Benzenoids	Benzenoids	HMDB0000500
Hippuric acid	Benzenoids	Benzenoids	HMDB0000714
Malic acid	Organic acids	Organic acids	HMDB0000156
N-Acetylaspartic acid	Amino acids	Amino acids	HMDB0000812
N-Acetytyrosine	Amino acids	Amino acids	HMDB0000866
Ethylmethylacetic acid	Fatty acids	SCFAs	HMDB0002176
Benzoic acid	Benzenoids	Benzenoids	HMDB0001870
Coumaric acid/4-Hydroxycinnamic acid	Phenylpropanoic acids	Phenylpropanoic acids	HMDB0041592/HMDB0002035
Indoleacetic acid	 Indoles	 Indoles	HMDB0000197
Fumaric acid	Organic acids	Organic acids	HMDB0000134
Glutaric acid	Organic acids	Organic acids	HMDB0000661
Aconitic acid	Organic acids	Organic acids	HMDB0000072
N-Acetyltryptophan	Amino acids	Amino acids	HMDB0013713
2-Phenylpropionate	Phenylpropanoic acids	Phenylpropanoic acids	HMDB0011743
Hydrocinnamic acid	Phenylpropanoic acids	Phenylpropanoic acids	HMDB0000764
Indole-3-propionic acid	 Indoles	 Indoles	HMDB0002302
N-Phenylacetylphenylalanine	Amino acids	Amino acids	HMDB0002372
Azelaic acid	Fatty acids	Fatty acids	HMDB0000784
Sebacic acid	Fatty acids	Fatty acids	HMDB0000792
alpha-Ketoisovaleric acid	Organic acids	Organic acids	HMDB0000019
Ketoleucine	Organic acids	Organic acids	HMDB0000695
3-Methyl-2-oxopentanoic acid	Organic acids	Organic acids	HMDB0000491
Phenylpyruvic acid	Benzenoids	Benzenoids	HMDB0000205
Methylmalonic acid	Organic acids	Organic acids	HMDB0000202
2-Hydroxyglutaric acid	Organic acids	Organic acids	HMDB0000606
Glycine	Amino acids	Amino acids	HMDB0000123
Citrulline	Amino acids	Amino acids	HMDB0000904
Galactonic acid	Organic acids	Organic acids	HMDB0000565
Gluconolactone	Carbohydrates	Carbohydrates	HMDB0000150
Glycolic acid	Organic acids	Organic acids	HMDB0000115
alpha-Aminobutyric acid	Amino acids	Amino acids	HMDB0000452
Glyceric acid	Carbohydrates	Carbohydrates	HMDB0000139
Proline	Amino acids	Amino acids	HMDB0000162
Acetylglycine	Amino acids	Amino acids	HMDB0000532
Pipecolic acid	Amino acids	Amino acids	HMDB0000716
Erythronic acid	Carbohydrates	Carbohydrates	HMDB0000613
