Name	Group	Group2	HMDB
Lysine	Amino Acids	Amino Acids	HMDB0000182
Histidine	Amino Acids	Amino Acids	HMDB0000177
Arginine	Amino Acids	Amino Acids	HMDB0000517
Ornithine	Amino Acids	Amino Acids	HMDB0000214
Glutamine	Amino Acids	Amino Acids	HMDB0000641
Glutamic acid	Amino Acids	Amino Acids	HMDB0000148
Sarcosine	Amino Acids	Amino Acids	HMDB0000271
Alanine	Amino Acids	Amino Acids	HMDB0000161
Dimethylglycine	Amino Acids	Amino Acids	HMDB0000092
GABA	Amino Acids	Amino Acids	HMDB0000112
Serine	Amino Acids	Amino Acids	HMDB0000187
Threonine	Amino Acids	Amino Acids	HMDB0000167
Creatine	Amino Acids	Amino Acids	HMDB0000064
Threonic acid	Carbohydrates	Carbohydrates	HMDB0000943
Hydroxypropionic acid	Organic Acids	Organic Acids	HMDB0000700
Glycylproline	Peptides	Peptides	HMDB0000721
Homocitrulline	Amino Acids	Amino Acids	HMDB0000679
AMP	Nucleotides	Nucleotides	HMDB0000045
Lactic acid	Organic Acids	Organic Acids	HMDB0000190
Methylcysteine	Amino Acids	Amino Acids	HMDB0002108
2-Phenylglycine	Amino Acids	Amino Acids	HMDB0002210
Tyrosine	Amino Acids	Amino Acids	HMDB0000158
Asparagine	Amino Acids	Amino Acids	HMDB0000168
Phenylalanine	Amino Acids	Amino Acids	HMDB0000159
Hydroxyphenyllactic acid	Phenylpropanoic Acids	Phenylpropanoic Acids	HMDB0000755
4-Hydroxyhippuric acid	Benzoic Acids	Benzoic Acids	HMDB0013678
Aspartic acid	Amino Acids	Amino Acids	HMDB0000191
Glucaric acid	Carbohydrates	Carbohydrates	HMDB0000663
2-Hydroxy-3-methylbutyric acid	Fatty Acids	Fatty Acids	HMDB0000407
4-Hydroxybenzoic acid	Benzoic Acids	Benzoic Acids	HMDB0000500
ortho-Hydroxyphenylacetic acid	Benzenoids	Benzenoids	HMDB0000669
Hippuric acid	Benzoic Acids	Benzoic Acids	HMDB0000714
Malic acid	Organic Acids	Organic Acids	HMDB0000156
N-Acetylaspartic acid	Amino Acids	Amino Acids	HMDB0000812
Ethylmethylacetic acid	SCFAs	SCFAs	HMDB0002176
2-Methy-4-pentenoic acid	Fatty Acids	Fatty Acids	HMDB0031158
2-Hydroxycaproic acid	Fatty Acids	Fatty Acids	HMDB0001624
Indoleacetic acid	Indoles	Indoles	HMDB0000197
Fumaric acid	Organic Acids	Organic Acids	HMDB0000134
Glutaric acid	Organic Acids	Organic Acids	HMDB0000661
Aconitic acid	Organic Acids	Organic Acids	HMDB0000072
2-Phenylpropionate	Phenylpropanoic Acids	Phenylpropanoic Acids	HMDB0011743
Hydrocinnamic acid	Phenylpropanoic Acids	Phenylpropanoic Acids	HMDB0000764
Indole-3-propionic acid	Indoles	Indoles	HMDB0002302
Azelaic acid	Fatty Acids	Fatty Acids	HMDB0000784
Sebacic acid	Fatty Acids	Fatty Acids	HMDB0000792
alpha-Ketoisovaleric acid	Organic Acids	Organic Acids	HMDB0000019
Ketoleucine	Organic Acids	Organic Acids	HMDB0000695
3-Methyl-2-oxopentanoic acid	Organic Acids	Organic Acids	HMDB0000491
Phenylpyruvic acid	Benzenoids	Benzenoids	HMDB0000205
Methylmalonic acid	Organic Acids	Organic Acids	HMDB0000202
2-Hydroxyglutaric acid	Organic Acids	Organic Acids	HMDB0000606
Glycine	Amino Acids	Amino Acids	HMDB0000123
Guanidoacetic acid	Organic Acids	Organic Acids	HMDB0000128
Citrulline	Amino Acids	Amino Acids	HMDB0000904
Gluconolactone	Carbohydrates	Carbohydrates	HMDB0000150
Glycolic acid	Organic Acids	Organic Acids	HMDB0000115
alpha-Aminobutyric acid	Amino Acids	Amino Acids	HMDB0000452
Glyceric acid	Carbohydrates	Carbohydrates	HMDB0000139
Proline	Amino Acids	Amino Acids	HMDB0000162
Acetylglycine	Amino Acids	Amino Acids	HMDB0000532
Pipecolic acid	Amino Acids	Amino Acids	HMDB0000716
Erythronic acid	Carbohydrates	Carbohydrates	HMDB0000613
N-Acetylserine	Amino Acids	Amino Acids	HMDB0002931
Quinic acid	Organic Acids	Organic Acids	HMDB0003072
N-Acetylneuraminic acid	Carbohydrates	Carbohydrates	HMDB0000230
Acetic acid	SCFAs	SCFAs	HMDB0000042
